theta_deg,phi_deg,dir_bempp_dBi
5.5,47.5,17.79757443852423
5.5,52.5,17.79248583758078
5.5,57.5,17.78461286760556
5.5,62.49999999999999,17.774727932008446
5.5,67.5,17.763854670604506
5.5,72.5,17.753151318556093
5.5,77.5,17.743776511351378
5.5,82.5,17.736753229134052
5.5,87.5,17.732847444111563
5.5,92.5,17.732476782402273
5.5,97.5,17.735661044630533
5.5,102.5,17.74202109692209
5.5,107.49999999999999,17.750826232439184
5.5,112.5,17.761083675343652
5.5,117.5,17.771658521085868
5.5,122.49999999999999,17.78140887855296
5.5,127.50000000000001,17.78931966526749
5.5,132.5,17.794619327099664
5.5,137.5,17.7968663129899
5.5,142.5,17.79599590706558
5.5,147.49999999999997,17.792322507576234
5.5,152.5,17.786497248111846
5.5,157.5,17.77942566664281
5.5,162.5,17.772154628500132
5.5,167.5,17.765741507615935
5.5,172.5,17.76112123102092
5.5,177.5,17.758987667798877
5.5,182.5,17.759704593429866
5.5,187.5,17.763257993999307
5.5,192.49999999999997,17.769256145380773
5.5,197.5,17.77697750181025
5.5,202.5,17.78546002169044
5.5,207.5,17.793620212776112
5.5,212.5,17.800386689154966
5.5,217.5,17.804831756047037
5.5,222.5,17.806285388987014
5.5,227.5,17.804418551169473
5.5,232.5,17.799286570141515
5.5,237.49999999999997,17.791327777769673
5.5,242.49999999999997,17.78131741399365
5.5,247.49999999999997,17.770281595022105
5.5,252.50000000000003,17.759380640157623
5.5,257.5,17.749774846989684
5.5,262.5,17.74248840687244
5.5,267.5,17.73828803281974
5.5,272.5,17.737591625498656
5.5,277.5,17.740418836694108
5.5,282.5,17.746390052961733
5.5,287.5,17.754773903726623
5.5,292.5,17.76457696222121
5.5,297.5,17.774663923193923
5.5,302.5,17.783893008333045
5.5,307.5,17.791250032827037
5.5,312.5,17.795965384032556
5.5,317.5,17.79760071922896
5.5,322.5,17.796095958116904
5.5,327.5,17.791771630667185
5.5,332.5,17.785286448205248
5.5,337.5,17.777554782668474
5.5,342.49999999999994,17.76963325376079
5.5,347.5,17.76258944284595
5.5,352.5,17.757368377495084
5.5,357.5,17.754673329017212
6.5,2.5,16.846095722160662
6.5,7.499999999999999,16.852596434680933
6.5,12.5,16.86448348818532
6.5,17.5,16.880252291929374
6.5,22.5,16.89789237537752
6.5,27.5,16.915139777072707
6.5,32.5,16.92975655213602
6.5,37.5,16.93980226333952
6.5,42.49999999999999,16.943866030947284
6.5,47.5,16.941234476056415
6.5,52.5,16.93197900312275
6.5,57.5,16.91695422923181
6.5,62.49999999999999,16.897707607660735
6.5,67.5,16.876308513313983
6.5,72.5,16.855113366249633
6.5,77.5,16.83649141340751
6.5,82.5,16.822542497195855
6.5,87.5,16.814841847569834
6.5,92.5,16.81424592280123
6.5,97.5,16.820786616886764
6.5,102.5,16.833669202787142
6.5,107.49999999999999,16.85137424936378
6.5,112.5,16.87184856482164
6.5,117.5,16.89275812947274
6.5,122.49999999999999,16.91176909449638
6.5,127.50000000000001,16.926821751415865
6.5,132.5,16.93636598166659
6.5,137.5,16.939533368333958
6.5,142.5,16.936229212392917
6.5,147.49999999999997,16.927136044081795
6.5,152.5,16.913628473974523
6.5,157.5,16.89760747722435
6.5,162.5,16.881270546304755
6.5,167.5,16.86684222153304
6.5,172.5,16.856296238252547
6.5,177.5,16.851104244174493
6.5,182.5,16.852045017983897
6.5,187.5,16.85910138775538
6.5,192.49999999999997,16.87146007241902
6.5,197.5,16.887614530758835
6.5,202.5,16.905555746899537
6.5,207.5,16.923023861453377
6.5,212.5,16.937786767049122
6.5,217.5,16.94791070852826
6.5,222.5,16.95199159770023
6.5,227.5,16.94932244840264
6.5,232.5,16.939980382696366
6.5,237.49999999999997,16.924824969176946
6.5,242.49999999999997,16.905407865756825
6.5,247.49999999999997,16.883801955710403
