theta_deg,dir_pec_dBi,dir_opt_dBi
169.5,10.814014920266114,8.001728036184335
170.5,12.81811056391155,9.343456973297958
170.5,12.817347115162631,9.585529599033983
171.5,14.441129619962664,10.588479103367263
171.5,14.440546645048178,10.781752703247198
172.5,15.773043182372245,11.523925805718356
172.5,15.772604596498356,11.67753174304315
173.5,16.86851031207439,12.207291375785482
173.5,16.868189232800287,12.328503489938639
174.5,17.76317840622161,12.676349032089913
174.5,17.762952966465587,12.770767820152127
175.5,18.481210289646725,12.955944136116461
175.5,18.48106160044209,13.02786253455325
176.5,19.039321532574615,13.06206873707427
176.5,19.039232576976705,13.11476261158144
177.5,19.449082098362528,13.00425248635709
177.5,19.44903707048798,13.040170808248554
178.5,19.7182784255814,12.786912079118103
178.5,19.71826229794847,12.807780461760156
179.5,19.851725141089375,12.410008233572906
179.5,19.85172335360059,12.416857830043583
